slug	group	scene_ru
intimacy-11	intimacy	женщина спиной, взрослый разговор с пожилым родителем дома, на равных, тёплая граница
intimacy-12	intimacy	женщина спиной, тёплый уютный вечер дома, нежное лёгкое касание щеки партнёра-мужчины, взаимная нежность и близость
charisma-1	charisma	женщина спиной входит через дверь на оживлённую вечеринку, гости с бокалами оборачиваются
charisma-2	charisma	женщина спиной завязывает разговор с заинтересованным мужчиной в кофейне
charisma-3	charisma	женщина спиной поглощена рассказом сияющего жестикулирующего мужчины за ужином при свечах
charisma-4	charisma	женщина спиной во главе длинного стола, вся компания смеётся и тянется к ней, свечи и бокалы
charisma-5	charisma	женщина спиной с жестом рассказчицы, круг друзей в баре заворожённо слушает
charisma-6	charisma	женщина спиной перекидывается остротами с ухмыляющимся собеседником в баре, друзья смеются
charisma-7	charisma	женщина спиной в элегантном вечернем платье говорит комплимент польщённому мужчине на коктейльном приёме
charisma-8	charisma	женщина спиной с прощальным лёгким касанием плеча мужчины на светском вечере, он хочет продолжения
charisma-9	charisma	женщина спиной разряжает неловкость (опрокинутый бокал, смущённый гость), все смеются
charisma-10	charisma	женщина спиной радушным жестом представляет двух гостей друг другу на светском приёме
charisma-11	charisma	женщина спиной, тёплое объятие со старым другом при встрече в кафе
batch	batch	тёплый разговор один-на-один в светлой комнате, женщина спиной внимательно слушает, собеседник раскрывается
batch-2	batch	беседа один-на-один, женщина спиной мягко вытягивает мнение собеседника
batch-3	batch	тёплый разговор один-на-один в уютной комнате, женщина спиной слушает, собеседник раскрывается
composure-1	composure	женщина спиной спокойно держит лицо, собеседник за столом подкалывает с ухмылкой, она не клюёт на наживку
composure-2	composure	женщина спиной ровно проводит черту после публичного выпада за столом переговоров, коллеги замерли
composure-3	composure	женщина спиной стоит ровно, пока оппонент принижает её при людях в переговорной, спокойно называет происходящее
composure-4	composure	женщина спиной легко признаёт оговорку и восстанавливает осанку перед небольшой аудиторией, спокойное лицо
composure-5	composure	женщина спиной даёт один спокойный ответ и держит паузу, напирающий собеседник ждёт оправданий, офис
composure-6	composure	женщина спиной спокойно завершает токсичный разговор, не хлопая дверью, раздражённый оппонент за столом
composure-7	composure	женщина спиной берёт паузу под напором, собеседник требует ответа немедленно, она держит момент спокойно
composure-8	composure	женщина спиной отвечает ровно и с достоинством грубящему свысока собеседнику, не опускаясь до тона
composure-9	composure	женщина спиной спокойно держит решение, пока собеседник обрабатывает её лестью и срочностью через стол
composure-10	composure	женщина спиной спокойно и с авторитетом признаёт, что не знает ответа, на совещании, без блефа
composure-11	composure	женщина спиной принимает отказ ровно и с достоинством, сдержанное рукопожатие через стол после проигранного торга
gravitas-1	gravitas	женщина спиной решительно берёт руль в кризис-переговорной, команда поворачивается к ней за приказами, тревожные экраны
gravitas-2	gravitas	женщина спиной проецирует спокойный авторитет перед серьёзной командой, замедленная уверенная поза, высокие ставки
gravitas-3	gravitas	женщина спиной берёт необратимое решение на себя за столом, команда ждёт, серьёзные лица, момент выбора
gravitas-4	gravitas	женщина спиной ровно держит темп под шквалом враждебных вопросов от жёсткой панели за столом, спокойная осанка
gravitas-5	gravitas	женщина спиной честно называет масштаб провала команде, но держит руль, серьёзные доверяющие лица, командный центр
gravitas-6	gravitas	женщина спиной держит рамку спокойным весом перед давящим тяжеловесом за столом, как равная, напряжённая переговорная
gravitas-7	gravitas	кризис-переговорная, женщина спиной спокойно даёт команде опору, серьёзные но доверяющие лица
gravitas-8	gravitas	накалённая переговорная, женщина спиной поднимает ладонь «стоп», оппоненты замирают
gravitas-9	gravitas	шумная переговорная затихает, женщина спиной говорит тихо и медленно, все подаются вперёд
gravitas-10	gravitas	командный центр после кризиса, женщина спиной спокойно благодарит уставшую команду, экраны успокаиваются
lead-1	lead	женщина спиной спокойно берёт инициативу в группе без титула, фокусирует людей у доски, они поворачиваются к ней
lead-2	lead	женщина спиной зажигает команду направлением, показывает «зачем» у экрана, загоревшиеся вовлечённые лица
lead-3	lead	женщина спиной — якорь спокойствия в паникующей комнате, даёт ясность и следующий шаг, команда выдыхает
lead-4	lead	женщина спиной уважительно возражает старшему руководителю, данные в руках, стеклянная переговорная
lead-5	lead	женщина спиной спокойно призывает подведшего сотрудника к ответственности один-на-один, восстанавливает стандарт без злости
lead-6	lead	женщина спиной публично и чисто признаёт свою ошибку перед командой, прямая осанка, доверие растёт
lead-7	lead	женщина спиной заслоняет своего сотрудника, переводит удар на себя перед нападающими за столом
lead-8	lead	женщина спиной нейтральным авторитетом разводит двух сцепившихся коллег в переговорной, ровный жест
lead-9	lead	женщина спиной доносит тяжёлую новость команде прямо и с достоинством, оставаясь рядом, серьёзные лица
lead-10	lead	женщина спиной публично поднимает и хвалит сотрудника перед командой, аплодисменты, щедрый жест
lead-11	lead	женщина спиной задаёт высокую планку и зовёт команду вверх у доски с целью, вдохновлённые лица
leadership-1	leadership	фидбэк один-на-один в стеклянной переговорной, женщина спиной жестикулирует, сотрудник слушает
leadership-2	leadership	женщина спиной передаёт папку с проектом сотруднику в офисе, на фоне доска с планом
negotiation-1	negotiation	переговоры за столом, торг, женщина спиной спокойно предлагает условия, партнёры взвешивают
negotiation-2	negotiation	рукопожатие над подписанным контрактом в переговорной, женщина спиной закрывает сделку
pitch-1	pitch	питч инвесторам, женщина спиной, жест у экрана с презентацией, заинтересованные лица
pitch-2	pitch	питч: падающий график на экране, инвесторы, женщина спиной уверенно держит зал
pitch-3	pitch	питч-финал: рукопожатие, закрытие сделки, женщина спиной
pressure-1	pressure	пресс-конференция, женщина спиной за трибуной перед толпой журналистов с микрофонами и вспышками
repair-1	repair	примирение дома, женщина спиной держит руку расстроенного партнёра-мужчины на диване в тёплой гостиной
requests-1	requests	женщина спиной показывает боссу ноутбук с тревожными данными в кабинете, босс слушает серьёзно
stage-1	stage	женщина спиной выходит к большому залу под прожектором, аудитория поднимает взгляд
stage-2	stage	женщина спиной на сцене держит паузу, луч света, зал во внимании
stage-3	stage	женщина спиной говорит прямо в студийную камеру с подсветкой, оператор рядом
stage-4	stage	женщина спиной у края сцены делает глубокий вдох перед полным залом
stage-5	stage	женщина спиной спокойно отвечает на резкий вопрос из зала, слушатель с микрофоном стоит
stage-6	stage	женщина спиной собрана после сбоя слайдов, тёмный экран позади, зал ждёт
stage-7	stage	женщина спиной рассказывает историю, зал заворожён, тёплый кинематографичный свет
stage-8	stage	женщина спиной даёт финальный призыв с поднятой рукой, зал на подъёме
stage-9	stage	женщина спиной на пресс-подходе перед камерами и микрофонами журналистов
stage-10	stage	женщина спиной тихо и тепло обращается к огромному залу, один слушатель крупным планом тронут
stage-11	stage	женщина спиной уверенно ведёт зал без слайдов у пустого/сбойного экрана (импровизация)
